,Whisky,Review
23,Aberfeldy 21-year-old  Limited Release,"A lot of potential was wasted on this Aberfeldy. After a really nice, fruity-sweet and ripe nose, it is then much too thin on the palate, almost watery. That would definitely have needed a higher alcohol content.First a dominant orange with lots of honey. Behind it old oak. Later on, peaches, ripe pears, honeydew melon and a hint of marzipan are added to the orange.Oily and very mild with a slight sweetness. At first almost watery on the tongue, then honey, pears and vanilla. Towards the end a light peppery flavor. Overall much too thin.A light spice with soft oak wood notes and dark chocolate remains on the palate for a medium-long time."
24,Aberfeldy 21-year-old  Limited Release,
25,Aberlour 12-year-old  Double Cask Matured,"Good introduction to sherried malts. Value (£25) : 8/10Classic vanilla and caramel notes. But some darker notes of sultanas as well. Much less sherried than the colour (mind the E150 added) would lead you to believe.Apples and honey. Slightly herbal as well. Some cinnamon notes before ginger spices take over.A short, spicy finish. I personally find it lacking some sweetness."
26,Aberlour 12-year-old  Double Cask Matured,"This 12-year-old Speysider appears to be the tamed version of the excellent Aberlour A'bunadh, even though it is a vatting of both ex-bourbon and ex-sherry matured whisky. Fresh, citrusy and a little bit shy at first nosing, the aroma unfolds with tropical fruits, cloves and hints of marzipan. Despite its low ABV, the taste is surprisingly strong and fruity-spicy with lots of blueberries, plums and ginger. The finish is of medium length with notes of milk chocolate, baked apple and wood tannins. An easily accessible and quite affordable Single Malt with character.RATING: 3.5/5.0 stars ≙ 83 pts → ABOVE AVERAGE"
27,Aberlour 12-year-old  Double Cask Matured,"Simple but neat, quite sweet, nicely sherriedw/ notes of stewed peaches, apricot jam, honeycake with a nice nuances of caramel.RATING: 83pts – |83 – 86 (B) → Good| — Not a “must”, but a nice-to-have."
28,Aberlour 12-year-old  Double Cask Matured,"Decent sensible malt for his money. I drank the bottle quickly and with pleasure.Candied peaches, apricot jam, honey pastries, pies, sweet spices, caramel and apples.Peaches, turns into apples and sweets, the nuances of cream and lush pies with chocolate chips.It echoes the taste of apple pie, various pastries and sweet spices, a slightly bitter barrel."
29,Aberlour 12-year-old  Double Cask Matured,
30,Aberlour 12-year-old  Double Cask Matured,"Oaky, sherry, dried cherry,Sweet, fruity, maybe bananas, mild vanilla, more light caramel. Oak for sure. Something minty or herbal.Light and airy, vanishes and leaves behind alcohol and floral/honey notes."
31,Aberlour 12-year-old  Double Cask Matured,"Decent entry-level age stated single malt.Sweet grain, bubble gum, honey, marzipan nuttiness, nutmeg, some raisins, sweet milk and slight red wine. Both the bourbon and sherry casks are noticeably present. Sweet dominates.Raspberry, redberries, lemon, pears, vanilla, sugar syrup, flat soda. The low abv is noticeable here, it shows potential but lacks flavor and viscosity.Short, orange, zesty, spicy & sweet, chocolate, a little wood shows up at the end."
32,Aberlour 12-year-old  Double Cask Matured,"Tasted blind The bottle already has the new design Overall, I like the bottling, especially considering the price, there are deductions for the somewhat thin finish, here the 40% take revengeApple juice, cookies, lemon sorbet, peach, tropifrutti, no alcoholAgain tropical fruits, gummy bears, very sweet, but also an immediately somewhat spicy start in the pleasant sense, which balances out the sweetness, alcohol also reserved here As you swallow more and more, it becomes more and more spicyVanilla sugar, caramel, a touch of fruit, unfortunately (too) not very intense, but tasty"
33,Aberlour 12-year-old  Double Cask Matured,
34,Aberlour 12-year-old  Double Cask Matured,"What a smooth, fruity dram ... great fruity nose, soft taste and finish. For the 25 EUR I payed it’s really good ...Sherry comes out after a few minutes in the glass.Sherried - Vanilla - Fresh Fruit - ApplesApple - Vanilla - Ginger - Fresh fruit - VanillaPepper - Fresh Fruit - Vanilla - Wood"
35,Aberlour 12-year-old  Double Cask Matured,"A well put together, easily available Sherry driven whisky at good value for £30 makes this a great solid go to, a slightly more characterful than other Sherry driven whiskys (e.g. Tamnavulin).The first nosing I get the Sherry influence; some pear and orchard fruit, some candied orange rind. The more you persist the up more of the oak and vanilla from the Bourbon maturation. Packs a little more spirity punch than you’d expect from a 40%. A good but not great all rounder nose that doesn’t blow you away with complexity but has a little something for everyone depending on how hard you look for it. 78.Arrival threatens a little piquancy but quickly smooths out into a very drinkable whisky dominated by sweet caramel and hard toffee flavours. Buttery shortbread, but fresh, and the oak is prominent. Maybe a tiny hint of bitter coffee. Packs far less punch than the nose suggests, it’s very smooth but the 40% doesn’t do it any favours and an amplification up to the 46% would carry more body, oomph and also potentially some more slickness. It’s a little watery and a little ‘cleansed’ for my liking. 79Pretty short finish that tails off relatively swiftly. Again, fairly one dimensional into the caramel notes. The extra alcohol would have carried this further. 76"
36,Aberlour 12-year-old  Double Cask Matured,"Red apples, plenty of honey. Fresh plums and figs, blueberries. A hint of raisins. But also vanilla. Sweet pears. Caramel and milk chocolate. Later also lemons.Sweet blackberries and plenty of honey. Raisins in the background. Vanilla. Followed by a hint of raw cashew nuts. Later some spices such as cinnamon and a pinch of nutmeg.Somewhat short. Vanilla. Honey. Nutmeg."
37,Aberlour 12-year-old  Double Cask Matured,"On the nose, immediately the sherry influence, with spices and dried fruits, sultanas, raisins and some fruity notes from apples and oranges.On the palate, it starts smooth, fruity, peaches, apricots, quite velvety, less sherry influence then the nose, caramel and at the end come oranges and some hints of chocolate.The finish is medium, with fruit, vanilla, chocolate and some pepper hints."
38,Aberlour 12-year-old  Double Cask Matured,"Harmonious, sweet, easy going light sherried speysider.Overly Sweet, Slightly Dusty first impression it disappears later, Light, Red Apples, MaltyTingly, Quite nice Texture, Sweet, Fruity,Short, Malty,"
39,Aberlour 12-year-old  Double Cask Matured,"Quite sweet, clearly fruity. On the one hand, light and pleasant, on the other, relatively rich for this class of whisky. Sherry aromas. Red fruit. Fresh red fruit. But there are also fruits more typical of bourbon - citrus, maybe some fresh green fruit from the orchard. Caramel. Red apples. The second time is chocolate and milk.Pretty sweet. Pretty full and rich. Fresh fruit. Later red fruit. Some spices. Some sherry comes in. More and more. Dessert chocolate appears. Nuts. The second time there is some oak and cocoa.Dessert chocolate, even more than on the tongue. A pinch of spices. Definitely chocolate and cocoa. Less fruit than on the nose or tongue. Medium-long finish. The second time, the finish is more cocoa than plain chocolate. Maybe some oak."
40,Aberlour 12-year-old  Double Cask Matured,"An average whisky. A good nose but a moderate finishApple, oranges, honey, vanilla and some chocolateHoney and vanilla with lots of pepperShort to medium long and spicy"
41,Aberlour 12-year-old  Double Cask Matured,
42,Aberlour 12-year-old  Double Cask Matured,
43,Aberlour 12-year-old  Double Cask Matured,"Mild vanilla hints, lingering oak, strong finish"
44,Aberlour 12-year-old  Double Cask Matured,"An ok malt, maybe good as an opening for a beginners' tasting, but you could also use the cheaper 10 instead (if not discontinued!). Had the way nicer 15 Marie D'Ecrosse a few years back for only a couple of Euros more. Would love to see a return. :-)"
45,Aberlour 14-year-old  Double Cask Matured,"Sherry aromas, specifically cherries, then some clovessoft but strong body, slightly malty, the sherry aromas dominate. This is followed by aromas of light fruits such as peaches and pineapple. Always sweet. Altogether quite a complex malt.Somewhat poor at the back. Sherry notes, cinnamon, cloves, maybe a little peach, the overall finish is not that brutally good. If it were even longer, more intense, there would be even more points!"
46,Aberlour 14-year-old  Double Cask Matured,
47,Aberlour 14-year-old  Double Cask Matured,"Sweet, lot's of fruit, pear, berries, sherry caskMild, Chocolate, some fruits, pepper, honeyMedium and creamy, some pepper, pear"
48,Aberlour 14-year-old  Double Cask Matured,"Quite an interesting aroma, licked molt is so drinkable, tasty, but does not cause much emotion."
49,Aberlour 14-year-old  Double Cask Matured,"A nice whisky with a clear influence of the sherry caskRed fruit and honeyNice mouthfeel with red fruit, chocolate, honey and some pepperMedium long with fruit and pepper and some sherry"
50,Aberlour 14-year-old  Double Cask Matured,Fresh fruit. Apples and pears. Red fruit. Feel the influence of sherry casks.Fruit. Dessert chocolate. Spices. Black pepper. Sherry casks.Fresh fruit. Spices. Black pepper. Honey. Caramel. Red fruit.
51,Aberlour 14-year-old  Double Cask Matured,
52,Aberlour 14-year-old  Double Cask Matured,
53,Aberlour 14-year-old  Double Cask Matured,"A fruity and creamy whisky！Sweet and spicy.Very fruity,oak spices,fresh berries,orange zest,orange juice,fruit cake,fudge,toffee,roasted pine nut.Mild and creamy,sweet and spicy,plum juice,citrus note,dark chocolate.Long and creamy,a little spicy and bitter,black tea,minty."
54,Aberlour 16-year-old  Double Cask Matured,"Had it blind and it was a fun malt. Well-put together Speysider, fruity, a bit of wood, floral... Was surprised by the 'not so strong sherry influence' I had anticipated in an Aberlour, but other than that not many complaints. Maybe a bit high on price but aren't most these days?"
55,Aberlour 16-year-old  Double Cask Matured,"Colour: dark amber.Nose: sweet, apples, dried fruits, oak, spices, furniture varnish, vanilla, nuts, red currant and raisin.Mouth: sweet with apple sourness, dried fruits, pepper, oak, black tea, nuts and herbal.Finish: long with spices, vanilla, pepper, furniture varnish, apples, light dryness and dried fruits notes.Aberlour 16YO is a good balanced, smooth and tasty whisky. It’s a good choice for daily drinking."
56,Aberlour 16-year-old  Double Cask Matured,"The color is beautiful, but stained. The whisky can do a lot but not enough of everything.Typical bourbon note with citrus and oranges, in the background some vanilla and caramel. Nutty with light fruits and honey still get through.It combines sherry with coffee notes in a very balanced way and remains fruity sweet. Nussig, with a little caramel, remains soft and very pleasantEverything is over very quickly. It stays malty and dry in the mouth, but only for a short time"
57,Aberlour 16-year-old  Double Cask Matured,"A pleasant fruity-spicy-elegant ""dessert whisky"" in its prime.The nose of the Aberlour is very inviting with its fresh baked flavors, the light fruitiness (especially light grapes) and some sherry; In the background also some oak spice appears.Very clearly comes the Aberlour in the mouth, a beautiful spicy fruitiness (again with the light grapes) determines the scene. Also on the palate are some darker fruits and oak.The oak determines with a few herbs and some sherry the medium-long finish."
58,Aberlour 16-year-old  Double Cask Matured,"Great whisky. Balanced, full and pleasant to drink.Sweet, fruity, woody, spicy, vanilla, nuts, oranges. Full and balanced scent.Black tea, herbs, caramel, orange peel, cocoa, apples. There are a lot of tastes there but they are pleasantly together.Apples, cocoa, oranges, spices for mulled wine and pleasant woodiness."
59,Aberlour 16-year-old  Double Cask Matured,"Wow, this one took me for a pleasant surprise in a blind tasting. Came on the tongue rather harmless and less intense than the nose suggested. But after only a couple of sips, it established itself as a malt that's got more to offer than the low abv. would make you believe. It really grew on me as a very sippable and pleasant malt. Aberlour sherry bomb? Nope. Inexpensive for what it is? Meh, maybe but for the price I'd love to get 43% abv. minimum, actually. The only other detriment is a flawed finish with a very slight soap note."
60,Aberlour 16-year-old  Double Cask Matured,
61,Aberlour 16-year-old  Double Cask Matured,"Double wood and long maturation give this malt a quite long finish, with lots of smooth vanilla taste."
62,Aberlour 16-year-old  Double Cask Matured,"The nose is a nice mix of fruit and sweetness. All in all very soft and round. In the mouth and on the finish it could have more oomph. He is a bit cautious when it comes to releasing his aromas - this may be due to the ""only"" 40% alcohol content. It would be interesting how the 43 variant is in this regard.Color is amber. Fruity and sweet, initially oranges, then ripe red apples. Rum raisins and caramel.Soft body, gentle. Creamy mouthfeel. Milk chocolate, fear from the nose. Changes to spiciness with cinnamon and nutmeg. A bit watery on the whole.Soft finish. Subtle notes of sherry. Subtle oak. Becomes drier towards the end. Finish rather medium-long."
63,Aberlour 16-year-old  Double Cask Matured,
64,Aberlour 16-year-old  Double Cask Matured,
65,Aberlour 16-year-old  Double Cask Matured,"Nice summer whisky. To my shame I have to admit: I also tried it on the rocks. What can I say, in the summer sun it works!Very restrained. A certain sweetness is recognizable. The wood comes through too. A delicate aroma, unfortunately not very intense.A relatively cask-accented malt. You notice the double maturation. However, there can't have been many first-fill casks on either side... A little more of everything would be great.Short to medium length. Rather on the sherry side. The alcohol burns a little. This is a pity."
66,Aberlour 16-year-old  Double Cask Matured,Very sweet. Too sweet for me. Lacks complexity for a 16 year old. Good for desserts
67,Aberlour 18-year-old,"A basic, multifaceted, honed whisky that has excellent balance and depth. One wants to drink such whisky leisurely in small rare sips, stretching pleasure.In the foreground is filled with tones of cherry tree, compote of dried fruits, rose petals and fresh pastries. The noble notes of old leather, a cigar and a farmyard are felt deeper. Super!Strict, with a high content of dried fruits, spices and tannins, with a bright echo of a red apple.Long, measured, with sweet tones of prunes, dried cherries, figs and dried apricots, with pepper and soft malt nuances, with delicate tannins at the very end."
68,Aberlour 18-year-old,
69,Aberlour 18-year-old,
70,Aberlour 18-year-old,
71,Aberlour 18-year-old,
72,Aberlour 18-year-old,
73,Aberlour 18-year-old,
74,Aberlour Triple Cask,"Try Smifil's in his new apartment. Good beginner, no more and no less ..."
75,Aberlour Triple Cask,"Sweet, orange-fruity, mild whisky. Good as a dessert or for beginners. Little complex, but very tasty.Malt, sherry, sweetness.Very sweet, a little sherry and oak.Unfortunately a little too short."
76,Aberlour Triple Cask,"A young, fairly run-of-the-mill entry-level whisky with an excessive malt influence.Young bark, sawdust, foliage, feijoa and yeast dough.Slightly sharp, with apple sourness and a note of burnt crust of bread, astringent with young tannins.Short and uncomplicated, with a bias towards yeasty bread shades, with a slight fruity sourness and a rough oak influence."
77,Aberlour Triple Cask,"TASTE sweet aromas from honey and juicy pears to vanilla and toffee. GeESCHMACK very soft with pleasantly sweet ripe oranges and red apples. Then licorice, raisins and toasted almonds."
78,Aberlour Triple Cask,
79,Allt-a-Bhainne Single Malt Scotch Whisky,"Like being given a pair of socks, it's pleasant enough, but overall a bit of a disappointment.A slight whiff of peat, but nothing jumps out the glass.The peat is very delicate, the spirit is quite soft and slightly anonymous.Some spice at the death, but quite late in the day."
80,Allt-a-Bhainne Single Malt Scotch Whisky,"Allt a Bhainne 40%. Official bottling. Dark yellow with a soft orange hue. Aroma is bubblegummy, ever so slightly feinty maybe - slight suggestions of cheese and plastic. But mostly quite airy. Touch of sawdust. Not much to it. Taste is light, watery, very soft, incredibly light and inoffensive, slightly papery, very little of the advertised peat up front though it does build. You'd have to drink a lot to get a dose of peat though. I mean it tastes fine. Good drinkability, no alcohol shows up. Maybe a bit like a half decent blend. If I had a BSW that tasted like this I would be fairly satisfied, and blind I wouldn't have it down as a malt. Not a bad whisky, but it's hard to know who it's aimed at really."
81,Allt-a-Bhainne Single Malt Scotch Whisky,
82,Allt-a-Bhainne Single Malt Scotch Whisky,
83,Allt-a-Bhainne Single Malt Scotch Whisky,"the name fits  from the smoke it is completely OK for me, but it does not blow  I won't buy a bottlesweet becomes stronger, minimal smoke (fits!), light plastic, young malt, light caramel comes, grassy noteslight and silky on the palate  young malt, minimal smoke (hardly noticeable), spicy, earthy / mineral (young malt), brown banana, hot and peppery at the endlong  spicy, light lemon / ornamental orange / bergamot?, oak, no smoke at first then it comes minimally, whole milk nut chocolate"
84,Allt-a-Bhainne Single Malt Scotch Whisky,"Not bad, young, but different from the usual young Speysider. Nevertheless, too light, and one or the other funny flavor is there.Young, fruity, pearly, vanilla, sweet, but also a spicy note, subtly scorched, slightly burnt-on plastic, probably from the peat. Not bad.Slightly watery and discreet at the beginning, slightly alcoholic. Only little fruit and sweetness, rather tart and spicy aromasLight peat, ashen, burned plastic. Then some fruit, light sweet notes and a vinous aftertaste. Very short and watery."
85,Allt-a-Bhainne Single Malt Scotch Whisky,"Begins grassy and pithy. In the background spicy oak, caramel and some citrus zests. Over time, more and more custard and the smoky note of the banished crust a Creme Brulee.At first pithy and grassy framed by spicy oak. Now followed by burnt sugar, citrus zests and cold custard.Full, long and grassy. Late oak note."
86,Allt-a-Bhainne Single Malt Scotch Whisky,"If this is a distillery bottling then I would stick to the IB's. It's not totally crap, just very boring. This was a sample courtesy of my Polish neighbour.A soft fruity nose, Victoria plum, peach, red apple and green melon. There is also some sort of candy note like marshmallow. I am finding it quite pleasant, a nice sniffer. It says on the bottle, just enough peat to start a fire, I couldn't find a trace.The soft fruity notes continue with the taste and I'm afraid that's about it. You are waiting for something else to arrive and it never does, it just bypasses straight to the finish.The finish isn't much to right home about either, short and sweet."
87,Allt-a-Bhainne Single Malt Scotch Whisky,
88,Allt-a-Bhainne Single Malt Scotch Whisky,
89,Amrut Cask Strength,"NOSE: Salted pistachios, malt, hay, herbal pine, banana chips, orchard fruit, melon rind, wax and vanilla. Just a wonderful, sweet and nutty, fruity whisky that's shockingly different from the regular Amrut Classic Indian Single Malt Review.PALATE: Waxy banana, malt, orchard fruit, melon rind, herbal pine, vanilla, pistachios, golden raisins, oak, baking spice and a touch of black licorice. The palate of the XXX is so much more powerful and decadent with an oaky pop that starts light but grows. This is nice.FINISH: Long -> Waxy banana, oak, spice and, herbal pine and pistachio gelato mix into one of my favorite fades in recent whisky memory."
90,Amrut Peated  Indian Single Malt Whisky,"n: sweet peated, earthy, clay, mud, nice smoke, ripe banana, green apple, fresh fruitt: light peat, sweet, smooth, medicinala: peat, sweet, medicinal, hint of salt, mint, mellow"
91,Amrut Peated  Indian Single Malt Whisky,"Smoke, caramel, spicessmoky sweetnessmedium, repeats the taste"
92,Amrut Peated  Indian Single Malt Whisky,
93,Amrut Raj Igala,"Pleasant, but nothing that stands out."
94,Amrut Raj Igala,grapefruitlemonmandarinbittermelonbrown sugarsweet tobaccopepperorangefresh and youngwoodypeppermelonmedium short
95,Amrut Raj Igala,
96,Ardbeg An Oa,"Not bad, not bad at all. Much better - but probably a bit higher priced - than the 'Select' or 'Small Batch' releases of other renowned Islay distilleries.Amazingly fresh and fruity in the nose. Lime cream. Maybe sweetened with a little honey. The smoke I feel noticeably less phenolic and less ""dirty"" and tarry, as in TEN, Uigeadail or even at various UAs, which I was allowed to taste in recent months. I have an interesting tobacco association. It will be interesting to see how the clear smoke affects the taste.46.6% ABV already suspect it. The drinking strength makes the malt look very pleasant on the tongue. The beautiful citrus note, which reminds me of some of the long-gone Ardbeg distillates, remains intact. The AN OA looks pleasantly creamy, but without being able to match the almost proverbial creaminess of a Port Charlotte in this aspect. The 'smelt' reminiscent of chocolate pralines. Only from the mouth feeling, even if I have no present Schokonoten in the taste. The sweetie has deposited the honey and seems to me now rather malty. Vanilla powder like a pudding. Interesting spice, cereal notes. Oatmeal, soaked barley, in addition to the nose now stronger smoke flavors. The smoke is quite maritime, but much less tarry and medically, as one is used to from the bottlings of recent years, what the AN OA a great clarity, I would almost say 'purity' provides, which I like personally. If there is a summer whisky from Ardbeg, the rather unconvincing Blasda times out, then it is the AN OA.No miss notes! No sulfur, no metal, although by nature he is certainly still young, and above all no excessive bitterness. So for me more balanced than the Kelpie, which scores in the nose with great smoke and eucalyptus and in the finish then goes under the bitter load of the Black Sea areas in the knee. But back to AN OA. The previously rather lemony smoke exchanges its fruitiness towards the end in slightly earthy notes that remind me quite remotely to the Ardbog and form a nice, round conclusion."
97,Ardbeg An Oa,"[October, 2017]  I call this the ""little Kelpie"".  Obviously, Kelpie was a test ballot on how a caucasian virgin oak Ardbeg is received by the Ardbeg community.  And as the reactions on the Kelpie were rather mixed they most probably adjusted the An Oa recipe to a more smoother and less woody (aggressive) dram by adding more standard bourbon casks and less virgin oak - what is fine.But why do they use virgin caucasian oak at all?  The reason is very simple:  Due to the long-lasting whisky boom there is a severe cask shortage at all Scottish distilleries (bourbon whisky did not grow as much as Scotch did) and even more severe at groups that do not own a bourbon distiillery in their portfolio (like LVHM).  Consequently, to mature the ever growing output scottish distilleries more and more have to use virgin oak casks too and therefore a lot of scotch whisky has become more wood-driven and bourbon-ish in their style (look at Laphroaig or Macallan, for example).  Caucasian oak induces a different flavours profile into whisky than the traditional american or european oak.  It is significantly more herbal with eucalyptus and camphor notes (that I personally do not like as this reminds me of cough medicine).  In this respect it is a completely new style of whisky that you either like or not.  But to say it very clear:  Distilleries do this out of despair (as they are short of high quality casks) and not because they want to innovate...  But it is an innovation, nevertheless!  And we will see if this leads to some more interesting flavour profiles over time (once the maturation had a chance to really work over an appropriate period and not just for a few years as with the Kelpie or An Oa), especially when second and third fill caucasian casks are available.But to be honest:  This is a typical Ardbeg, for sure and it is better than other standard editions right now (good that they did the test ballot with the Kelpie).  But it is not great and rather average only (or judged by Ardbeg standards:  still below average)...PS:  I tried batch L67986 bottled 04/07/2017."
